,Ano Evento,Mês Evento,Subestação Hier.Geoelétrica,Alimentador Hier.Geoelétrica,Bloco Alimentador Hier.Geoelétrica,Transformador Hier.Geoelétrica,Pot,Cod Grupo Causa GPO,Grupo Causa GPO,Cod Causa Evento,Causa Evento,DIC Transformador,FIC Transformador,Duração
5501,2014,07/2014,TBU,TBU-L2,0230,2523,112.5,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,39.50224,16.0,2.46889
5502,2012,07/2012,CPX,CPX-L1,1530,2539,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C287,PARTIDO NA CONEXÃO,74.36434,188.0,0.395555
5503,2012,07/2012,CPX,CPX-L1,1530,2539,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C394,DESARME POR DESREGUL,140.11264,94.0,1.4905599999999999
5504,2012,08/2012,CPX,CPX-L1,1530,2539,75.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,136.3,94.0,1.4500000000000002
5505,2012,08/2012,CPX,CPX-L1,1530,2539,75.0,3,SUBESTAÇÃO NÃO PROGRAMADA,C080,FALHA EM CHAVE SECCI,43.05764,94.0,0.45805999999999997
5506,2012,09/2012,CPX,CPX-L1,1530,2539,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C278,PARTIDO NA CONEXÃO,268.08236,94.0,2.85194
5507,2012,09/2012,CPX,CPX-L1,1530,2539,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C287,PARTIDO NA CONEXÃO,3.0,1.0,0.0
5508,2012,09/2012,CPX,CPX-L1,1530,2539,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C394,DESARME POR DESREGUL,3.0,1.0,0.0
5509,2012,09/2012,CPX,CPX-L1,1530,2539,75.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,3.0,1.0,0.0
5510,2012,09/2012,CPX,CPX-L1,1530,2539,75.0,3,SUBESTAÇÃO NÃO PROGRAMADA,C080,FALHA EM CHAVE SECCI,3.0,1.0,0.0
5511,2012,10/2012,CPX,CPX-L1,1530,2539,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C391,ISOLADOR DANIFICADO,186.30236,94.0,1.98194
