,Ano Evento,Mês Evento,Subestação Hier.Geoelétrica,Alimentador Hier.Geoelétrica,Bloco Alimentador Hier.Geoelétrica,Transformador Hier.Geoelétrica,Pot,Cod Grupo Causa GPO,Grupo Causa GPO,Cod Causa Evento,Causa Evento,DIC Transformador,FIC Transformador,Duração
6631,2012,10/2012,MGB,MGB-L4,-1,4642,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,397.93302,94.0,4.23333
6632,2012,11/2012,TBU,TBU-L5,10958,4642,75.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C282,DESNIVELADO,360.33302,94.0,3.8333299999999997
6633,2013,05/2013,TBU,TBU-L5,10958,4642,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C324,FLY-TAP AT,543.63302,94.0,5.78333
6634,2013,05/2013,TBU,TBU-L5,10958,4642,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C324,FLY-TAP AT,3.0,1.0,0.0
6635,2013,06/2013,TBU,TBU-L5,10958,4642,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C324,FLY-TAP AT,3.0,1.0,0.0
6636,2013,07/2013,TBU,TBU-L5,10958,4642,75.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,41.22934,94.0,0.43861
6637,2013,09/2013,TBU,TBU-L5,10958,4642,75.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,3.0,1.0,0.0
6638,2013,10/2013,TBU,TBU-L5,10958,4642,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C287,PARTIDO NA CONEXÃO,137.1942,110.0,1.24722
6639,2013,11/2013,TBU,TBU-L5,10958,4642,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C394,DESARME POR DESREGUL,197.175,110.0,1.7925000000000002
6640,2014,04/2014,TBU,TBU-L5,10958,4642,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C444,DEFEITO NA CHAVE,173.0004,120.0,1.44167
6641,2012,04/2012,MGB,MGB-L4,-1,4643,75.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,19.37364,13.0,1.49028
6642,2012,05/2012,MGB,MGB-L4,-1,4643,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C285,PARTIDO NA EMENDA,32.40978,26.0,1.24653
6643,2012,07/2012,MGB,MGB-L4,-1,4643,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,36.27728,26.0,1.3952799999999999
6644,2012,10/2012,MGB,MGB-L4,-1,4643,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,55.03329,13.0,4.2333300000000005
6645,2012,11/2012,TBU,TBU-L5,4643,4643,75.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C282,DESNIVELADO,49.83329,13.0,3.8333299999999997
6646,2013,05/2013,TBU,TBU-L5,4643,4643,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C324,FLY-TAP AT,75.18329,13.0,5.78333
